Period,Surge Amp,Surge Phase,Sway Amp,Sway Phase,Heave Amp,Heave Phase,Roll Amp,Roll Phase,Pitch Amp,Pitch Phase,Yaw Amp,Yaw Phase
1.75,0.004,151.8,0.000,0.0,0.001,294.4,0.000,22.4,0.015,216.0,0.000,0.2
2.25,0.025,203.9,0.000,0.0,0.008,14.6,0.000,49.8,0.135,206.4,0.000,308.2
2.75,0.061,3.2,0.000,0.0,0.034,189.6,0.000,206.1,0.487,4.9,0.000,116.7
3.25,0.106,91.8,0.000,0.0,0.127,281.0,0.000,0.0,0.893,76.6,0.000,190.3
3.75,0.085,124.4,0.000,0.0,0.211,317.2,0.000,263.9,2.913,138.5,0.000,221.2
4.25,0.090,274.2,0.000,0.0,0.360,346.3,0.000,172.1,5.883,134.7,0.000,208.8
4.75,0.323,280.0,0.000,0.0,0.527,354.5,0.000,98.6,7.229,122.4,0.000,0.0
5.25,0.515,276.2,0.000,0.0,0.655,357.8,0.000,65.3,7.107,112.9,0.000,195.3
5.75,0.648,273.5,0.000,0.0,0.746,359.0,0.000,46.6,6.445,106.9,0.000,202.2
6.25,0.743,271.9,0.000,0.0,0.809,359.5,0.000,35.7,5.736,103.2,0.000,209.4
6.75,0.817,271.1,0.000,0.0,0.852,359.7,0.000,30.0,5.114,100.8,0.000,216.5
7.25,0.881,270.6,0.000,0.0,0.882,359.8,0.000,25.8,4.596,99.2,0.000,219.9
7.75,0.940,270.3,0.000,0.0,0.904,359.8,0.000,22.2,4.168,98.0,0.000,223.5
8.25,0.995,270.2,0.000,0.0,0.920,359.9,0.000,20.1,3.813,97.1,0.000,227.2
8.75,1.050,270.1,0.000,0.0,0.932,359.9,0.000,18.7,3.514,96.4,0.000,229.3
9.25,1.103,270.0,0.000,0.0,0.941,359.9,0.000,17.3,3.261,95.8,0.000,231.2
9.75,1.156,270.0,0.000,0.0,0.949,359.9,0.000,16.1,3.044,95.3,0.000,233.0
10.25,1.209,269.9,0.000,0.0,0.955,359.9,0.000,15.6,2.855,95.0,0.000,234.9
10.75,1.262,269.9,0.000,0.0,0.960,359.9,0.000,14.5,2.689,94.6,0.000,235.9
11.25,1.316,269.9,0.000,0.0,0.964,360.0,0.000,0.0,2.543,94.3,0.000,236.8
11.75,1.369,269.9,0.000,0.0,0.968,360.0,0.000,0.0,2.412,94.1,0.000,238.3
12.25,1.423,269.9,0.000,0.0,0.971,360.0,0.000,0.0,2.295,93.9,0.000,238.2
12.75,1.476,269.9,0.000,0.0,0.974,360.0,0.000,0.0,2.190,93.7,0.000,239.6
13.25,1.530,269.9,0.000,0.0,0.976,360.0,0.000,0.0,2.094,93.5,0.000,239.7
13.75,1.584,269.9,0.000,0.0,0.978,360.0,0.000,0.0,2.006,93.3,0.000,239.8
14.25,1.638,269.9,0.000,0.0,0.980,360.0,0.000,0.0,1.926,93.2,0.000,241.9
14.75,1.692,269.9,0.000,0.0,0.981,360.0,0.000,0.0,1.853,93.1,0.000,241.6
15.25,1.746,269.9,0.000,0.0,0.982,360.0,0.000,0.0,1.785,92.9,0.000,242.1
15.75,1.800,269.9,0.000,0.0,0.984,360.0,0.000,0.0,1.722,92.8,0.000,242.1
16.25,1.855,269.9,0.000,0.0,0.985,360.0,0.000,0.0,1.663,92.7,0.000,243.2
16.75,1.909,269.9,0.000,0.0,0.986,360.0,0.000,0.0,1.609,92.6,0.000,243.3
17.25,1.964,269.9,0.000,0.0,0.987,360.0,0.000,0.0,1.558,92.6,0.000,243.1
